,index,Stilling id,Stillingsbeskrivelse vasket,Registrert dato,Arbeidssted fylke,Arbeidssted land,Yrke grovgruppe
21,5630,9568354,"Vil du bli en del av lederteamet ved Sortlands fineste dagligvare. Høsten 2017 åpnes det som vil bli Sortlands fineste dagligvare. . Vi har funnet Vesterålens beste og mest motiverte butikksjef, og nå går jakten vår videre etter en assisterende butikksjef til å bli med på laget. Du vil bli en viktig del av lederteamet på vårt nye flaggskip på Sortland. Assisterende butikksjef vil være butikksjefens høyrehånd, og stedfortreder når butikksjef ikke er tilstede. Godt samarbeid med butikksjef vil være en forutsetning, og vesentlig for at butikken skal lykkes i sine målsettinger. Som assisterende butikksjef vil din rolle bli å utøve ledelse i henhold til de oppgaver butikksjefen delegerer, samtidig som du vil være en viktig sparringspartner i forhold til hvordan dere velger å drifte og lede butikken i det daglige. Assisterende butikksjef har etter nærmere beskrivelse og samarbeid med butikksjefen fullmakt til å lede og fordele arbeidet ved butikken. Assisterende butikksjef har instruksjonsmyndighet over andre medarbeidere i butikken, og skal bistå butikksjefen i arbeidet med å skape gode holdninger, og bygge et godt arbeidsmiljø internt. Viktige ansvarsområder. Lede innenfor de områder som fastsattes i samarbeid med butikksjef. Være butikksjefens rådgiver i spørsmål som vedrører butikken og den daglige driften. Representere arbeidsgiver i diverse møter, herunder personalmøter ledermøter. Ansvar for å rapportere forhold som er av betydning for ansatte ved butikken. Delta i budsjettprosessen. Jobbe for å innfri. overordnede mål. Følge opp interne pålegg og bestemmelser. Håndheve sikkerhetsbestemmelser i butikken. Følge opp og rapportere saker av sikkerhetsmessig karakter. Ønsket kompetanse og egenskaper.  Relevant ledererfaring. Kjennskap til salgsbransjen. fortrinnsvis dagligvare. Løsningsorientert, fleksibel og positivt innstilt i forhold til endringer. Gode samarbeidsevner og høy grad av gjennomføringskraft. Stor arbeidskapasitet og. vilje. Hva tilbyr vi. Unik mulighet til å bygge opp en butikk fra bunn. Ledende stilling i en ansvarsfull og utfordrende jobb. Gode betingelser og arbeidsforhold. Gode utviklingsmuligheter. Har du spørsmål om stillingen, kontakter du butikksjef. på tlf. , eller driftsleder. på tlf. For fullstendig utlysningstekst og elektronisk søknad klikk her. ",2017-04-27,Nordland,Norge,Butikk- og salgsarbeid
22,5711,9518566,". leder skal videre til nye utfordringer og nå søker vi en engasjert og resultatorientert Daglig leder som kan ta. SA til nye høyder. Som daglig leder i. SA har du total ansvar for drift av. ,. , Go. biten Cafe og Coopenhagen eiendom AS. Du vil sammen med styret og medarbeidere være med på å utvikle butikken videre og bygge en vinnerkultur. Du elsker salg, og trigges av fornøyde kunder. Om dette høres ut som en jobb for deg ser vi frem til å høre fra deg.  . Ansvarlig for salg, budsjett og resultatoppnåelse. Resultatet skaper du gjennom hardt arbeidog ledelse i butikken og i møte med kunden. Personalledelse. Herunder rekrutering, opplæring og utvikling. Skape ett godt miljø gjennom å inspirere og motivere dine medarbeidere.  .  Motivator. Du skaper engasjement og trivsel sammen med dine medarbeidere. Genuint opptatt av kundeservice. Relevant leder erfaring innen varehandel, gjerne dagligvarebransjen. Motiveres av økonomiske resultater. Økonomisk og administrativ utdannelse eller annen økonomisk bakgrunn er ønskelig.  .  Gode utviklings muligheter. Konkurranse dyktige betingelser. Vi er behjelpelig med å skaffe bolig. ",2017-01-26,Nordland,Norge,Butikk- og salgsarbeid
23,5841,9619001,". I XXL ser vi etter følgende når vi ansette nye kollegaer. Du liker å selge. Du elsker å vinne, hater å tape. Du er pliktoppfyllende og ærlig. Du er utadvendt og blid. Du er lærevillig. Du er motivert og engasjert til å kjempe for XXL sine kunder. Vi som jobber i XXL har det mer hektisk enn andre, dette fordi vi strever etter alltid å være best. For å være best må man utvikle seg hurtigere enn konkurrenten. Det betyr at hverdagen til tider er hektisk i et godt arbeidsmiljø. Som selger hos oss bør du ha en glødende interesse for varene du skal selge. Din oppgave er å gjøre vår gjest fornøyd, gjennom god kundebehandling og fagkompetanse. Vi inviterer tusenvis av gjester inn til våre varehus hver uke, nettopp derfor kaller vi de gjester. Det andre kaller kunder, fortjener å bli kalt og behandlet som en gjest hos XXL. Våre varehus er delt inn i 5 fagavdelinger, i tillegg til kasse og lagerfunksjonen. Det betyr at du vil jobbe i en fagavdeling og bli spesielt god på de produktene denne avdelingen selger. Våre selgere i Tekstilavdelingen har ansvaret for å hjelpe gjester som skal kjøpe tekstiler. Noe tekstiler sorterer under andre avdelinger, men i hovdsak er alt av tekstiler samlet i denne avdelingen. Dokumentert erfaring fra bransjen er en fordel, men ikke et absolutt krav. Våre selgere skal være aktive brukere av de produktene vi selger. XXL er en bedrift i stor vekst. Ønsker du å være med på dette, og hvis du ser for deg en karriere i en av de hurtigst voksende detaljkjedene i Norge, så oppfordrer vi deg til å søke. Velkommen til et vinnerkonsept. Vi gjør oppmerksom på at kun søknader som registreres via vårt elektroniske søknadsskjema vil bli behandlet. Benytt derfor linken [Send søknad] for å søke stillingen. Sted: XXL Mo i Rana. Tiltredelse: snarest. Kontakter.  For elektronisk søknadsskjema: ",2017-08-14,Nordland,Norge,Butikk- og salgsarbeid
24,5909,9628953,"Er du vår nye butikkmedarbeider. gruppen A S søker vi 1 butikkmedarbeider i 50. stilling. Princess skal i åpne ny butikk i Svolvær. Dette gir den rette en unik mulighet til å være med helt fra oppstarten av en ny Princess butikk. Arbeidsoppgaver. Salg av interiørvarer. Kundebehandling, kasse og oppgjør. Vareeksponering og varemottak. Ønskede kvalifikasjoner. Butikkerfaring. Personlige egenskaper. En selvstendig og dyktig selger med godt kunde fokus. Være servicinnstilt og kunne gi ""det lille ekstra"". Kundeorientert. Fleksibel. Positiv. Vi tilbyr. Konkurransedyktige betingelser. Ryddig og godt arbeidsforhold. Variert og spennende arbeidsdag. Fast stilling i en etablert forretningskjede. For spørsmål om stillingen kontakt. hos. Norge pr mail.  eller pr tlf.  [Søk stilling]",2017-09-01,Nordland,Norge,Butikk- og salgsarbeid
25,6413,9590859,". Vi søker etter butikkselger til et vikariat i 100. stilling. Vikariatet har ca 1. års varighet og oppstart er snarest mulig. småmaskinansvar. kundebehandling. varepåfylling. noe lagerarbeid. kassearbeid. det er ønskelig med erfaring fra salg. ønskelig med god kunnskap om småmaskiner og erfaring med reparasjon av småmaskiner. det er ønskelig med interesse for hage, kjæledyr og norsk landbruk. sertifikat T1 (lett. truck). du er ryddig og nøyaktig og har stor evne til å sette ting i system. du er serviceinnstilt og har kundene i fokus. du har ""stå. på. vilje"" i hektiske perioder sesong. du har godt humør og positiv innstilling. konkurransedyktige betingelser. gode forsikrings. og pensjonsordninger. Kontaktinformasjon. , Vikar butikksjef, (. 47).  Sortland. Nøkkelinformasjon.  Ref. nr. For elektronisk søknadsskjema. ",2017-06-07,Nordland,Norge,Butikk- og salgsarbeid
26,6450,9586232,"Sesongmedarbeider. søker nye lagspillere. I. er det kunden som er i fokus. Vi lever av lojale kunder som velger oss igjen og igjen. Vi søker derfor motiverte, engasjerte og hyggelige medarbeidere som leverer dag etter dag. I. er det gøy å gå på jobb. Dine sentrale arbeidsoppgaver er.  kundeservice. kassearbeid. varepåfylling. annet forefallende butikkarbeid. Våre forventinger til deg. Du er utadvendt og har godt humør i møte med nye mennesker. Du brenner for å yte god service. Du er ansvarsbevist og løsningsorientert. Du trives med fysisk butikkarbeid. Du må ha fylt 18 år. Du snakker godt norsk. Hva kan du forvente deg av oss. Hyggelige medarbeidere. Gode utviklingsmuligheter for den som brenner for butikkyrket. Tarifflønn. Er du den kundefokuserte medarbeideren vi ser etter. Da kan du være vår nye lagspiller. Vi gleder oss til å lese søknaden din. For andre ledige stillinger i. AS se gjerne www. coop. no. Heltid Deltid: Ved behov. Arbeidstid: Kveld. Søknadsfrist: 01. 06. 2017. Tiltredelse: Snarest. . Kontaktpersoner.  , tlf. . Hjemmeside: http: coop. no butikkene coop. prix. Send søknad via denne siden. ",2017-05-30,Nordland,Norge,Butikk- og salgsarbeid
27,6671,9613411,". Butikkselger i 50. 80. stilling. Har du lyst til å bli en del av Team G. Norges største sportskjede, G. Sport, søker en dyktig medarbeider i en 50. 80. stilling. Som selger G. skal du sørge for at våre kunder får bransjens beste service. Du er en lagspiller som elsker sport og salg, og motiveres av å skape gode resultater. Hva skal du kunne noe om. Salg. Du sørger for at kundene våre får en god handleopplevelse, og svært god faglig veiledning. Butikken ser til enhver tid ryddig og innbydende ut. Gjennomføring av kampanjer og salgstiltak, du blir aktiv bruker av vårt web. baserte kampanjeverktøy. Du har glødende interesse for sport, og ønsker å lære mest mulig om produktenes tekniske egenskaper. Sport. Enten gjennom egen aktivitet innen en eller flere idrettsgrener, eller fra butikk leverandør. Det er positivt om du kan noe rundt produktenes funksjon, det tekniske innen sport, og ønsker å tilegne deg mer kunnskap. Miljø og målsetninger. Skape godt arbeidsmiljø ved å være en god kollega og positiv bidragsyter. Som selger skal du aktivt delta for å nå butikkens målsetning. Hva skal du utføre. Hver dag sørger du for at våre kunder får en optimal handleopplevelse i bransjens mest strøkne butikk. Dette oppnår du gjennom god produktkunnskap, positiv innstilling samt at du er ryddig og løsningsorientert. Du elsker å ta kontakt med kundene og guide de til rett utstyr slik at de får en optimal trenings. eller turopplevelse. Hvilke personlige egenskaper er viktige i denne stillingen. Elsker sport og salg. Positiv og blid, og er glad i å møte nye mennesker. Kremmerånd, du liker å tjene penger. Du ønsker å skape gode resultater. Proaktiv med masse energi. Strukturert og ryddig. Du har jobbet i butikk tidligere, eller har annen relevant erfaring. Vi tilbyr. Godt arbeidsmiljø med utpreget vinnerkultur. Utfordrende og varierte arbeidsoppgaver. Gode utviklingsmuligheter hos G. Sport G. MAX, som er Norges største sportskjede. Svært gode kurs gjennom. Trygg arbeidsplass i et stort og spennende konsern. Søknad om stilling og evt. spørsmål kan rettes til. (. a. ",2017-07-31,Nordland,Norge,Butikk- og salgsarbeid
28,6789,9667420,". søker vi serviceinnstilt og driftig butikksjef. Takler du at det er mye som skjer samtidig, og har evne til å prioritere selv om det ""koker litt"" anbefaler vi deg å søke. . · Budsjett og resultatansvar for egen butikk. · Sikre gjennomføring av driftsrutiner, samt implementering av konsept. · Rekruttering, opplæring, motivering og videreutvikling av ansatte i butikk. · Bidra til å bygge et ""winning team"" og en positiv kultur. · Sikre bemanning i henhold til budsjett til enhver tid. · Sikre at butikken fremstår i henhold til LOCOs driftshåndbok. · Erfaring fra Dagligvarehandel. · Kommersiell teft og forretningsforståelse. · Løsningsorientert. · Høy arbeidskapasitet. · Positiv innstilling. · Evne og villighet til å ta i et tak der det er behov. Søkere blir behandlet fortløpende. Har du spørsmål om stillingen er du velkommen til å ta kontakt med rådgiver. . Sted: Bodø. Lønn: Etter avtale. Ansettelsesforhold: Fast. Hjemmeside.  For elektronisk søknadsskjema: ",2017-11-09,Nordland,Norge,Butikk- og salgsarbeid
29,6862,9594353,". b. young Mo i Rana søker selger til ekstrahjelpsstilling, for jobbing på dag, ettermiddag, kvelder, helger og i ferier. Dine arbeidsoppgaver vil i hovedsak være.  Salg og kundebehandling. Kassebehandling. Varemottak. Vareeksponering. Som person kjennetegnes du ved følgende.  Utadvent og energisk. Serviceminded. Du er en selger, og setter alltid kunden først. Målbevisst og motiveres av å jobbe mot budsjett. Har tempo i kroppen og takler stress. Er effektiv og strukturert. Jobber godt i team. Dersom du fører at dette er noe for deg, er du velkommen til å sende en motivert søknad og CV til. Legg gjerne ved bilde. Personlig oppmøte anbefales. Søkere bør være over 18 år. Søknadsfrist og oppstart snarest.  ",2017-06-13,Nordland,Norge,Butikk- og salgsarbeid
30,7434,9614324,". Siden en av våre ansatte har valgt å finne utfordringer et annet sted søker vi nå etter en Butikkselger med Frukt og Grønt ansvar for fast ansettelse. Vi søker nå etter en: Butikkselger for tiltredelse snarest. Stillingen vil være 100. , 37,5 t pr uke snitt. . Vi kan tilby.  En spennende og variert jobb, med daglige utfordringer og gode utviklingsmuligheter. Konkurransedyktig lønn og gode betingelser. Hyggelige medarbeidere og et positivt arbeidsmiljø. Å være behjelpelige med å finne bosted på Lovund. Dine kvalifikasjoner.  Meget salg og service innstilt. Være strukturert og ha god ordenssans. Handlekraftig, selvgående og ha en generell positiv innstilling. Være fleksibel med tanke på arbeidstid. Førerkort kl. B. Foretrukne egenskaper.  Ha god minimum 3 års erfaring fra butikk eller lignende. Kan vise til gode resultater og attester. Være matinteressert og være flink til å inspirere andre. Ha grunnleggende datakunnskaper. Søkere må være fylt 18 år. Ønsker du ytterligere opplysninger om stillingen, nøl ikke med å ta kontakt.  Asle T. Lyngøy, mobil.  90. Søknad med CV sendes snarest og senest 30. August til. . ",2017-08-02,Nordland,Norge,Butikk- og salgsarbeid
31,7610,9613785,". KIWI minipris er en av landets mest ekspansive lavpriskjeder og omfatter over 650 butikker. I 2017 forventer vi en samlet omsetning på 35,4 milliarder kroner. Kjedekonseptet er faste, lave priser på alle varer og en kostnadseffektiv drift. KIWI minipris er med i NorgesGruppen som er Norges største dagligvaregruppering. KIWI Rønvika søker etter butikkmedarbeider deltid, kveld og helg vakter. Arbeidsoppgaver.  Hovedsakelig kassererarbeid. Kundebehandling. Varehåndtering. Forefallende butikkarbeid. Personlige egenskaper.  Må være fylt 18 år. Punktlig. Utadvendt og ærlig. Serviceinnstilt. Ryddig. Godt humør. Kvalifikasjoner.  Erfaring fra dagligvare er ønskelig, men ingen betingelse. Vi kan tilby.  Opplæring. Karrieremuligheter. Sosialt og trivelig arbeidsplass blant hyggelige kolleger. NB. Vi gjør oppmerksom på at alle søknader må sendes inn via søknadskjema tilknyttet annonsen, samt at det meste av kommunikasjonen vedrørende stillingen vil skje per e. post. ",2017-08-01,Nordland,Norge,Butikk- og salgsarbeid
